Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
----------------------------------------------------------------------------------------------------------
Parallel2DSI_tb                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
GSR                               | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
PUR                               | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
top                               | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
colorbar_gen                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
pwr_sq_ctrl                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
BYTE_PACKETIZER                   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
LP_HS_DELAY_CNTRL                 | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
DPHY_TX_INST                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
DCS_ROM                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
DCS_Encoder                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
pll_pix2byte_RGB888_1lane         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
VLO                               | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
EHXPLLJ                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
OSCH                              | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
parallel2byte                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
packetheader                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
crc16_1lane                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
slice_0a                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE1a                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICE2a                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
